t_h,T_cama_C,T_aire_C,CO2_ppm,CH4_ppm,T_cama_sensor,T_aire_sensor,CO2_sensor_ppm,CH4_sensor_ppm
2.420000000000000000e+02,3.426158814145338738e+01,2.907989880480239009e+01,2.062262632965492594e+04,2.000000000050170534e+00,3.373426962404639795e+01,2.915258967237020471e+01,2.151123576232187770e+04,2.030197074302855231e+00
2.430000000000000000e+02,3.431080743007529321e+01,2.910158221592072891e+01,2.069486070794760235e+04,2.000000000041571635e+00,3.387069385645799713e+01,2.861959782276075259e+01,2.102354480946920376e+04,1.927460847839266300e+00
2.440000000000000000e+02,3.435956402989398129e+01,2.912306178623163433e+01,2.076623117324280975e+04,2.000000000037635672e+00,3.499833816350247417e+01,2.889179225417856856e+01,2.161562944794506257e+04,1.937151527022774156e+00
2.450000000000000000e+02,3.440786407273880343e+01,2.914434021690983556e+01,2.083675095865687399e+04,2.000000000034210412e+00,3.402163729835659467e+01,2.908558443287941131e+01,1.966105910524300998e+04,2.077449470422072064e+00
2.460000000000000000e+02,3.445571391268729400e+01,2.916542030683598696e+01,2.090643448915879708e+04,2.000000000032235548e+00,3.412667823915090537e+01,2.895099370255061544e+01,2.070704571618153204e+04,1.996146173847832106e+00
2.470000000000000000e+02,3.450312016954985239e+01,2.918630497294642367e+01,2.097529429197135687e+04,2.000000000030445424e+00,3.505419422804624929e+01,2.932918426947255597e+01,2.042972357984925839e+04,2.173964804226194758e+00
2.480000000000000000e+02,3.455008958569685262e+01,2.920699718673835221e+01,2.104334175892101121e+04,2.000000000026304292e+00,3.542160973646897304e+01,2.960645649288795056e+01,2.111860907518717067e+04,1.951776752155377936e+00
2.490000000000000000e+02,3.459662835591742436e+01,2.922749967698089790e+01,2.111059088736876220e+04,2.000000000020653257e+00,3.424515836726982343e+01,2.899217673309503596e+01,2.074868196698770407e+04,2.099933633269134070e+00
2.500000000000000000e+02,3.464274286279565729e+01,2.924781525599635401e+01,2.117705407674124217e+04,2.000000000012474022e+00,3.453226817575924912e+01,2.908032257517931640e+01,2.107149206861391940e+04,2.009741341308313167e+00
2.510000000000000000e+02,3.468843942899362531e+01,2.926794670940603638e+01,2.124274400165529005e+04,2.000000000001489919e+00,3.479090609427577618e+01,2.931503638306802273e+01,2.244222077605091545e+04,2.079577800975972224e+00
2.520000000000000000e+02,3.473372416826575204e+01,2.928789672763169705e+01,2.130767774709289370e+04,1.999999999995095701e+00,3.525233346158742620e+01,2.961011995733162294e+01,2.119918770521006445e+04,1.955284234262210763e+00
2.530000000000000000e+02,3.477860333899695888e+01,2.930766806873933206e+01,2.137186654252536391e+04,1.999999999991164179e+00,3.448254621546848853e+01,2.906319320623135027e+01,2.163717196790471280e+04,1.995044116236027953e+00
2.540000000000000000e+02,3.482308305923973535e+01,2.932726342734195413e+01,2.143532379385039530e+04,1.999999999991502575e+00,3.474949970545710443e+01,2.937707065180334354e+01,2.128596074502119518e+04,1.988450112061658226e+00
2.550000000000000000e+02,3.486716937398063010e+01,2.934668546565504954e+01,2.149806302133413556e+04,1.999999999998403499e+00,3.510037064679915630e+01,2.971094523581767177e+01,2.154689369241558961e+04,1.916394288513891597e+00
